Actual_CO_GT,RF_Predicted,SVR_Predicted,XGB_Predicted,GB_Predicted,RF_Error,XGB_Error
2.6,2.427,2.642,2.461,2.439,0.173,0.139
4.8,4.365,4.696,4.712,4.576,0.435,0.088
5.5,5.499,5.414,5.462,5.424,0.001,0.038
2.2,2.146,2.206,2.177,2.227,0.054,0.023
0.9,1.657,1.101,1.327,1.499,-0.757,-0.427
1.8,1.758,1.863,1.725,1.847,0.042,0.075
2.3,2.135,2.225,2.198,2.152,0.165,0.102
0.6,0.756,0.77,0.684,0.645,-0.156,-0.084
2.3,2.347,2.407,2.483,2.411,-0.047,-0.183
0.3,0.54,0.198,0.406,0.466,-0.24,-0.106
0.7,0.878,0.666,0.828,0.883,-0.178,-0.128
11.5,9.857,10.785,10.876,10.368,1.643,0.624
3.7,2.784,3.6,3.242,3.146,0.916,0.458
1.5,1.725,1.57,1.666,1.696,-0.225,-0.166
0.4,0.436,0.411,0.424,0.438,-0.036,-0.024
1.7,1.653,1.712,1.723,1.692,0.047,-0.023
1.1,1.058,1.334,1.06,1.019,0.042,0.04
3.5,3.039,3.401,3.117,3.172,0.461,0.383
1.1,1.132,1.128,1.208,1.179,-0.032,-0.108
0.1,1.032,0.966,0.937,1.041,-0.932,-0.837
3.3,3.547,3.53,3.583,3.605,-0.247,-0.283
3.0,3.131,3.076,3.178,3.154,-0.131,-0.178
0.5,1.261,0.665,0.941,0.991,-0.761,-0.441
1.6,1.744,1.518,1.736,1.787,-0.144,-0.136
1.6,2.413,1.946,2.118,2.292,-0.813,-0.518
2.3,2.141,2.214,2.158,2.176,0.159,0.142
1.7,1.759,1.666,1.77,1.789,-0.059,-0.07
3.2,3.522,3.392,3.547,3.635,-0.322,-0.347
0.5,1.47,1.543,1.18,1.387,-0.97,-0.68
1.2,1.339,1.272,1.256,1.354,-0.139,-0.056
1.2,1.823,1.589,1.638,1.73,-0.623,-0.438
5.0,4.533,4.578,4.34,4.415,0.467,0.66
1.0,0.822,1.093,0.79,0.628,0.178,0.21
1.4,1.653,1.664,1.649,1.671,-0.253,-0.249
8.0,8.138,8.128,8.106,8.201,-0.138,-0.106
0.9,0.902,1.103,0.95,0.834,-0.002,-0.05
0.8,0.899,0.855,0.878,0.92,-0.099,-0.078
1.1,0.894,1.107,0.952,0.94,0.206,0.148
0.4,0.432,0.335,0.471,0.533,-0.032,-0.071
6.8,7.022,6.979,7.156,6.889,-0.222,-0.356
2.4,2.382,2.291,2.257,2.204,0.018,0.143
4.5,4.301,4.526,4.282,4.239,0.199,0.218
0.4,0.486,0.214,0.351,0.368,-0.086,0.049
1.1,0.993,1.185,1.238,1.185,0.107,-0.138
1.5,1.29,1.468,1.318,1.286,0.21,0.182
1.7,1.51,1.681,1.469,1.523,0.19,0.231
2.8,2.755,2.801,2.734,2.507,0.045,0.066
1.5,1.349,1.493,1.517,1.486,0.151,-0.017
1.2,1.008,1.096,1.058,1.055,0.192,0.142
4.2,4.404,4.274,4.277,4.312,-0.204,-0.077
0.6,0.569,0.699,0.495,0.526,0.031,0.105
3.0,4.649,4.94,4.485,4.556,-1.649,-1.485
1.1,1.159,1.169,1.17,1.242,-0.059,-0.07
1.1,0.839,0.924,0.949,0.913,0.261,0.151
1.8,1.688,1.645,1.667,1.68,0.112,0.133
1.4,1.232,1.253,1.232,1.282,0.168,0.168
0.5,0.372,0.426,0.478,0.466,0.128,0.022
0.9,0.788,0.73,0.773,0.717,0.112,0.127
2.0,2.027,2.002,1.979,1.89,-0.027,0.021
2.1,1.919,2.02,2.1,2.079,0.181,-0.0
1.4,1.297,1.345,1.315,1.305,0.103,0.085
3.4,3.596,3.243,3.468,3.589,-0.196,-0.068
2.1,2.181,2.194,2.18,2.13,-0.081,-0.08
2.8,2.946,2.961,3.117,3.117,-0.146,-0.317
1.7,1.55,1.713,1.632,1.718,0.15,0.068
1.0,0.909,0.961,0.864,0.849,0.091,0.136
3.0,2.295,2.448,2.524,2.491,0.705,0.476
7.7,7.389,8.495,7.979,7.537,0.311,-0.279
1.3,1.666,1.588,1.63,1.72,-0.366,-0.33
0.7,0.975,0.825,0.901,0.912,-0.275,-0.201
0.7,0.811,0.733,0.719,0.778,-0.111,-0.019
2.0,1.948,1.994,1.906,1.834,0.052,0.094
2.4,2.824,2.463,2.528,2.583,-0.424,-0.128
4.8,4.715,4.78,4.463,4.73,0.085,0.337
2.7,2.508,2.636,2.625,2.512,0.192,0.075
0.6,0.635,0.707,0.727,0.733,-0.035,-0.127
0.8,0.874,0.82,0.809,0.839,-0.074,-0.009
0.8,0.741,0.873,0.785,0.727,0.059,0.015
1.5,1.629,1.593,1.611,1.591,-0.129,-0.111
3.7,3.52,3.516,3.472,3.476,0.18,0.228
2.5,2.547,2.352,2.491,2.463,-0.047,0.009
2.2,2.075,2.085,2.089,2.109,0.125,0.111
1.6,2.137,1.79,2.031,2.324,-0.537,-0.431
0.4,0.45,0.407,0.542,0.608,-0.05,-0.142
4.3,3.786,4.377,4.182,3.975,0.514,0.118
3.0,2.483,2.538,2.532,2.487,0.517,0.468
0.8,0.889,0.848,0.855,0.935,-0.089,-0.055
4.0,3.753,3.895,3.789,3.713,0.247,0.211
2.5,3.335,3.105,2.836,2.78,-0.835,-0.336
0.6,0.644,0.531,0.585,0.588,-0.044,0.015
2.1,2.107,2.133,2.277,2.338,-0.007,-0.177
2.4,2.413,2.399,2.58,2.666,-0.013,-0.18
0.7,0.533,0.563,0.732,0.638,0.167,-0.032
1.0,0.967,1.116,0.947,0.935,0.033,0.053
1.9,1.697,1.864,1.8,1.791,0.203,0.1
1.0,0.724,0.901,0.839,0.848,0.276,0.161
1.7,1.661,1.689,1.665,1.646,0.039,0.035
1.9,1.899,1.964,2.241,2.23,0.001,-0.341
3.1,3.762,3.332,3.504,3.522,-0.662,-0.404
1.5,1.3,1.262,1.255,1.213,0.2,0.245
1.4,1.396,1.334,1.289,1.344,0.004,0.111
0.4,0.921,1.08,0.893,0.904,-0.521,-0.493
0.7,0.943,0.912,0.926,0.919,-0.243,-0.226
1.4,1.425,1.383,1.393,1.365,-0.025,0.007
1.2,1.71,1.87,1.972,1.969,-0.51,-0.772
6.0,5.343,5.679,5.527,5.458,0.657,0.473
0.8,1.043,1.022,1.066,1.092,-0.243,-0.266
6.4,6.894,6.417,6.386,6.938,-0.494,0.014
0.9,0.823,0.852,0.864,0.808,0.077,0.036
1.9,2.155,2.568,2.502,2.391,-0.255,-0.602
1.6,1.599,1.597,1.649,1.55,0.001,-0.049
2.2,2.114,2.363,2.035,2.27,0.086,0.165
1.7,1.361,1.446,1.397,1.361,0.339,0.303
1.6,1.684,1.874,1.692,1.711,-0.084,-0.092
4.9,4.773,4.432,4.538,4.624,0.127,0.362
2.0,2.006,2.025,1.918,1.982,-0.006,0.082
1.0,0.892,0.833,0.871,0.855,0.108,0.129
1.0,0.999,0.796,0.841,0.848,0.001,0.159
3.5,3.449,3.351,3.333,3.317,0.051,0.167
0.9,1.039,0.712,0.862,0.861,-0.139,0.038
1.1,1.192,1.028,1.109,1.128,-0.092,-0.009
2.0,1.916,1.848,1.912,1.863,0.084,0.088
0.5,0.528,0.495,0.506,0.506,-0.028,-0.006
2.4,2.344,2.278,2.302,2.337,0.056,0.098
1.0,0.817,0.942,0.813,0.822,0.183,0.187
1.3,2.12,1.426,1.457,1.9,-0.82,-0.157
0.5,0.551,0.695,0.678,0.625,-0.051,-0.178
1.0,1.072,1.08,1.127,1.08,-0.072,-0.127
2.0,2.216,2.023,2.23,2.275,-0.216,-0.23
3.3,3.028,3.229,2.946,2.806,0.272,0.354
1.0,1.22,1.23,1.351,1.46,-0.22,-0.351
1.3,1.181,1.214,1.14,1.221,0.119,0.16
1.2,1.117,1.342,1.124,1.075,0.083,0.076
3.4,2.913,3.917,3.241,3.13,0.487,0.159
4.1,3.807,4.145,3.772,3.637,0.293,0.328
3.0,3.189,3.178,3.251,3.221,-0.189,-0.251
8.7,7.769,8.818,8.213,8.127,0.931,0.487
2.4,2.247,2.36,2.274,2.215,0.153,0.126
8.4,8.51,8.286,8.055,8.151,-0.11,0.345
2.4,3.012,2.789,2.703,2.805,-0.612,-0.303
0.8,0.896,0.835,0.917,0.902,-0.096,-0.117
1.1,1.183,1.312,1.385,1.338,-0.083,-0.285
4.5,4.164,4.522,4.305,4.3,0.336,0.195
2.2,2.059,1.972,1.966,1.847,0.141,0.234
1.4,1.815,1.728,1.804,1.831,-0.415,-0.404
4.3,3.537,3.817,3.666,3.663,0.763,0.634
1.1,0.948,1.016,0.945,0.981,0.152,0.155
2.3,2.231,2.365,2.351,2.224,0.069,-0.051
4.1,4.731,4.406,4.54,4.525,-0.631,-0.44
4.3,4.035,4.326,4.106,4.211,0.265,0.194
3.3,3.762,3.901,3.688,3.863,-0.462,-0.388
5.0,4.895,5.663,4.939,5.312,0.105,0.061
0.6,0.638,0.576,0.673,0.685,-0.038,-0.073
5.9,5.463,5.366,5.203,5.361,0.437,0.697
2.9,2.766,2.695,2.714,2.669,0.134,0.186
2.2,2.449,2.456,2.352,2.427,-0.249,-0.152
1.0,0.872,1.039,1.083,1.04,0.128,-0.083
2.9,2.785,2.596,2.817,2.677,0.115,0.083
0.6,0.6,0.565,0.594,0.561,0.0,0.006
2.0,1.995,1.876,1.958,1.957,0.005,0.042
0.6,0.603,0.541,0.595,0.646,-0.003,0.005
8.4,7.249,8.557,7.932,7.611,1.151,0.468
5.7,4.473,5.055,4.58,4.486,1.227,1.12
1.7,1.681,1.549,1.488,1.647,0.019,0.212
0.6,0.483,0.591,0.49,0.463,0.117,0.11
3.3,3.185,3.17,3.1,3.192,0.115,0.2
2.8,2.839,2.8,2.786,2.802,-0.039,0.014
2.0,2.004,1.884,2.007,2.008,-0.004,-0.007
0.1,0.386,0.31,0.391,0.431,-0.286,-0.291
0.2,1.151,1.092,0.864,1.201,-0.951,-0.664
4.4,4.747,4.536,4.631,4.652,-0.347,-0.231
1.3,1.318,1.354,1.263,1.321,-0.018,0.037
0.9,1.145,1.01,1.073,1.148,-0.245,-0.173
2.0,2.101,1.907,2.08,2.14,-0.101,-0.08
1.7,1.689,1.68,1.78,1.674,0.011,-0.08
2.5,2.371,2.539,2.35,2.28,0.129,0.15
0.5,0.582,0.418,0.523,0.548,-0.082,-0.023
0.6,0.551,0.655,0.526,0.53,0.049,0.074
2.5,2.121,2.218,2.279,2.287,0.379,0.221
1.2,1.331,1.23,1.354,1.303,-0.131,-0.154
2.5,2.609,2.523,2.547,2.603,-0.109,-0.047
1.1,1.105,1.032,1.033,1.006,-0.005,0.067
3.5,3.392,3.548,3.472,3.514,0.108,0.028
1.4,1.393,1.174,1.407,1.341,0.007,-0.007
4.8,3.975,4.261,4.261,4.126,0.825,0.539
2.6,2.288,2.212,1.994,2.075,0.312,0.606
0.5,0.622,0.637,0.507,0.57,-0.122,-0.007
0.8,0.951,0.889,0.952,0.946,-0.151,-0.152
0.4,0.431,0.456,0.495,0.504,-0.031,-0.095
1.1,1.122,1.043,1.149,1.174,-0.022,-0.049
3.9,3.997,3.649,3.939,4.028,-0.097,-0.039
0.7,1.559,1.408,1.277,1.588,-0.859,-0.577
1.0,1.186,1.04,1.019,1.032,-0.186,-0.019
2.4,3.086,2.983,2.669,2.864,-0.686,-0.269
2.8,2.752,2.871,2.736,2.728,0.048,0.064
1.3,1.045,1.161,1.092,1.128,0.255,0.208
5.7,5.585,5.221,5.357,5.284,0.115,0.343
2.7,2.882,2.829,2.86,2.979,-0.182,-0.16
2.1,2.058,1.772,1.996,2.017,0.042,0.104
2.5,2.352,2.282,2.506,2.485,0.148,-0.006
3.5,3.351,3.145,3.606,3.584,0.149,-0.106
1.5,1.406,1.474,1.41,1.413,0.094,0.09
2.4,2.35,2.358,2.552,2.599,0.05,-0.152
2.5,2.762,2.69,2.651,2.782,-0.262,-0.151
2.2,2.088,2.151,2.102,2.004,0.112,0.098
2.9,3.267,2.981,3.16,3.146,-0.367,-0.26
1.2,1.285,1.246,1.395,1.352,-0.085,-0.195
0.9,0.993,1.152,0.912,0.935,-0.093,-0.012
0.4,0.41,0.36,0.371,0.395,-0.01,0.029
1.7,1.57,1.659,1.555,1.579,0.13,0.145
2.7,2.688,2.742,2.766,2.8,0.012,-0.066
1.7,1.734,1.792,1.663,1.643,-0.034,0.037
0.9,1.265,1.444,1.497,1.625,-0.365,-0.597
1.7,1.831,1.967,1.803,1.859,-0.131,-0.103
5.6,3.65,4.662,4.269,4.138,1.95,1.331
5.0,4.472,4.837,4.689,4.54,0.528,0.311
1.1,0.83,1.025,0.973,0.894,0.27,0.127
0.8,0.747,0.841,0.773,0.751,0.053,0.027
5.1,5.229,5.1,5.37,5.562,-0.129,-0.27
1.2,1.231,1.452,1.088,1.391,-0.031,0.112
2.7,3.174,2.863,3.111,3.207,-0.474,-0.411
2.0,1.613,1.687,1.75,1.702,0.387,0.25
0.9,0.814,0.671,0.772,0.771,0.086,0.128
2.8,2.772,2.751,2.906,2.748,0.028,-0.106
0.9,1.011,0.999,0.925,0.946,-0.111,-0.025
4.6,3.945,4.539,4.121,4.082,0.655,0.479
1.4,1.358,1.354,1.379,1.284,0.042,0.021
2.7,3.031,2.849,2.927,2.9,-0.331,-0.227
2.3,2.469,2.884,2.922,2.648,-0.169,-0.622
1.8,1.808,2.021,1.851,1.811,-0.008,-0.051
5.7,5.6,5.83,5.707,5.945,0.1,-0.007
2.2,2.299,2.421,2.393,2.44,-0.099,-0.193
1.0,0.962,0.991,0.96,0.945,0.038,0.04
1.5,1.502,1.272,1.533,1.483,-0.002,-0.033
2.9,2.657,2.742,2.782,2.703,0.243,0.118
2.1,2.206,2.322,2.09,2.091,-0.106,0.01
2.5,2.474,2.29,2.577,2.51,0.026,-0.077
1.6,1.594,1.331,1.651,1.67,0.006,-0.051
1.1,1.177,1.137,1.149,1.056,-0.077,-0.049
0.8,0.695,0.832,0.758,0.727,0.105,0.042
1.0,1.33,1.181,1.148,1.169,-0.33,-0.148
3.2,3.687,3.394,3.766,3.805,-0.487,-0.566
0.4,0.414,0.364,0.385,0.418,-0.014,0.015
1.9,1.901,1.884,1.911,1.839,-0.001,-0.011
3.2,3.443,3.402,3.435,3.645,-0.243,-0.235
5.2,2.382,2.736,2.798,2.601,2.818,2.402
3.6,3.269,3.408,3.663,3.505,0.331,-0.063
2.8,2.637,2.943,3.229,2.73,0.163,-0.429
1.7,1.876,1.88,1.779,1.679,-0.176,-0.079
0.6,0.703,0.576,0.644,0.587,-0.103,-0.044
4.7,4.063,4.597,4.318,4.367,0.637,0.382
1.9,1.975,1.875,1.855,1.957,-0.075,0.045
2.0,2.102,2.223,2.007,2.056,-0.102,-0.007
2.7,2.49,2.435,2.499,2.502,0.21,0.201
5.2,4.842,4.941,4.938,5.037,0.358,0.262
5.5,3.413,4.293,4.035,3.714,2.087,1.465
1.1,1.845,1.481,1.542,1.716,-0.745,-0.442
5.0,5.379,5.526,5.555,5.684,-0.379,-0.555
4.1,3.612,4.353,3.894,3.601,0.488,0.206
2.3,2.244,2.395,2.315,2.227,0.056,-0.015
2.6,2.522,2.684,2.39,2.433,0.078,0.21
3.0,3.706,3.438,3.69,3.697,-0.706,-0.69
4.7,4.633,4.782,4.557,4.837,0.067,0.143
1.1,1.011,0.933,0.93,1.03,0.089,0.17
3.9,4.009,3.923,4.045,3.925,-0.109,-0.145
0.4,0.501,0.493,0.396,0.401,-0.101,0.004
0.9,0.624,0.666,0.806,0.676,0.276,0.094
2.1,2.767,2.448,2.511,2.677,-0.667,-0.411
2.0,2.143,2.105,1.976,2.054,-0.143,0.024
0.5,0.434,0.467,0.421,0.457,0.066,0.079
4.3,2.61,2.745,3.082,3.049,1.69,1.218
